SMILES,TITLE,fragments,Hybrid2,docked_fragment,site
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x0738,x0738,-9.127145,x0749,active-covalent
c1cc(cc(c1)NC(=O)CCC2CCCC2)C#N,x0564,x0564,-9.126751,x0678,active-noncovalent
Cc1c(cco1)C(=O)N2CCc3c2cccc3,x0533,x0533,-9.126317,x0749,active-covalent
Cc1c(cco1)C(=O)N2CCc3c2cccc3,x1114,x1114,-9.126317,x0749,active-covalent
CCOC(=O)c1cc(no1)c2ccc(cc2)C,x0675,x0675,-9.125563,x0749,active-covalent
CCOC(=O)c1cc(no1)c2ccc(cc2)C,x1062,x1062,-9.125563,x0749,active-covalent
c1ccc(cc1)NC(=O)N2CCC(CC2)C(=O)N,x0177,x0177,-9.123269,x0072,active-noncovalent
Cc1ccc(cc1O)NC(=O)c2cccc(c2)F,x0596,x0596,-9.122139,x0749,active-covalent
CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC#CBr,x0968,x0968,-9.117947,x0678,active-noncovalent
CCC(=O)Nc1c2ccccc2oc1C(=O)N,x1063,x1063,-9.109912,x0195,active-noncovalent
CCC(=O)Nc1c2ccccc2oc1C(=O)N,x0099,x0099,-9.109912,x0195,active-noncovalent
Cc1cc(on1)C(=O)NC[C@@H]2CCOC2,x0309,x0309,-9.108032,x0678,active-noncovalent
Cc1cc(on1)C(=O)NC[C@@H]2CCOC2,x1165,x1165,-9.108032,x0678,active-noncovalent
COc1ccc(cc1)[C@@]23C[C@@H]2CC[N@@]3c4cccnc4,x0934,x0934,-9.106321,x0072,active-noncovalent
CC1(C[C@@H]1C(=O)N(C)c2cccnc2)C,x0512,x0512,-9.103520,x0678,active-noncovalent
c1ccc(cc1)c2ccc(cc2)NC(=O)N,x0227,x0227,-9.102187,x0749,active-covalent
c1ccc(cc1)COc2cccc(c2)N,x0122,x0122,-9.096505,x0749,active-covalent
COc1ccc(cc1)N2CCN(CC2)C(=O)CCl,x1376,x1376,-9.094551,x0749,active-covalent
COc1ccc(cc1)N2CCN(CC2)C(=O)CCl,x1395,x1395,-9.094551,x0749,active-covalent
COc1ccc(cc1)N2CCN(CC2)C(=O)CCl,x1309,x1309,-9.094551,x0749,active-covalent
COc1ccc(cc1)N2CCN(CC2)C(=O)CCl,x1425,x1425,-9.094551,x0749,active-covalent
COc1ccc(cc1)N2CCN(CC2)C(=O)CCl,x1474,x1474,-9.094551,x0749,active-covalent
COc1ccc(cc1)N2CCN(CC2)C(=O)CCl,x0794,x0794,-9.094551,x0749,active-covalent
COc1ccc(cc1)N2CCN(CC2)C(=O)CCl,x0720,x0720,-9.094551,x0749,active-covalent
COc1ccc(cc1)N2CCN(CC2)C(=O)CCl,x1347,x1347,-9.094551,x0749,active-covalent
c1c(cn(n1)CC(=O)[O-])Br,x0956,x0956,-9.091599,x0397,active-noncovalent
c1cc(ccc1c2ccnc(n2)N)Cl,x0181,x0181,-9.090261,x0749,active-covalent
c1ccc(cc1)NC(=O)NCc2ccc(cc2)F,x0498,x0498,-9.076805,x0678,active-noncovalent
C[C@H](c1cn(nn1)c2ccccc2)[NH3+],x1236,x1236,-9.072893,x0195,active-noncovalent
C[C@H](c1cn(nn1)c2ccccc2)[NH3+],x0083,x0083,-9.072893,x0195,active-noncovalent
CC(=O)c1ccc(cc1)N2CCC(CC2)C(=O)N,x1118,x1118,-9.068644,x0749,active-covalent
CC(=O)c1ccc(cc1)N2CCC(CC2)C(=O)N,x0513,x0513,-9.068644,x0749,active-covalent
C1COCC[NH+]1Cc2c(snn2)Cl,x1216,x1216,-9.061049,x0678,active-noncovalent
c1ccc(cc1)SCC[NH+]2CCOCC2,x0398,x0398,-9.060939,x0072,active-noncovalent
c1ccc2c(c1)[nH]c(n2)CNC(=O)c3ccco3,x0667,x0667,-9.060922,x0195,active-noncovalent
COc1cccc(c1)C(=O)Nc2ccccc2F,x0369,x0369,-9.054951,x0749,active-covalent
Cc1ccc(cn1)CNC(=O)C2CCC2,x0456,x0456,-9.050803,x0678,active-noncovalent
Cc1ccnc(c1)NC(=O)C[NH2+]C,x0584,x0584,-9.047160,x0195,active-noncovalent
Cc1cccc(c1)C(=O)Nc2ccc(cc2O)C,x0488,x0488,-9.044549,x0195,active-noncovalent
c1ccc(cc1)OCC(=O)Nc2cccc(c2)F,x0352,x0352,-9.040609,x1093,active-noncovalent
c1ccc(cc1)OCC(=O)NC2CCCCC2,x0460,x0460,-9.040543,x1093,active-noncovalent
c1ccc(cc1)CCC(=O)Nc2ccc(cc2)O,x0427,x0427,-9.039534,x0072,active-noncovalent
c1ccc(c(c1)C#N)S(=O)(=O)N2CCN(CC2)C(=O)CCl,x1391,x1391,-9.037238,x0072,active-noncovalent
c1ccc(c(c1)C#N)S(=O)(=O)N2CCN(CC2)C(=O)CCl,x0700,x0700,-9.037238,x0072,active-noncovalent
