SMILES,TITLE,Hybrid2,docked_fragment
c1cc(cc(c1)N2CCCC2=O)NC(=O)CCl,LON-WEI-8f408cad-1,-8.221556,x0749
c1cc(cc(c1)N2CCCC2=O)NC(=O)CCl,MAK-UNK-7a704a63-10,-8.221556,x0749
c1cc(cc(c1)N2CCCC2=O)NC(=O)CCl,AAR-POS-0daf6b7e-11,-8.221556,x0749
C[NH2+]Cc1c[nH]c2c1cc(cc2)F,DAR-DIA-eace69ff-36,-8.188797,x0195
CC(=O)N1CC[NH+](CC1)Cc2ccsc2,MAK-UNK-6435e6c2-3,-8.185779,x0831
C=CC(=O)N1CCN(CC1)C(=O)c2cccc(c2)Cl,MED-COV-4280ac29-14,-8.169322,x0749
C#Cc1ccc(cc1)CNC(=O)N2CCOCC2,PAT-GYR-359dbb24-1,-8.167992,x0104
c1c[nH+]ccc1N2CCC(CC2)C(=O)N3CCS(=O)(=O)CC3,GIA-UNK-30c7cb75-3,-8.145669,x0072
CC(=O)N1CC[NH+](CC1)Cc2cccs2,MAK-UNK-6435e6c2-2,-8.134935,x0434
Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F,GER-UNI-05c7e912-1,-8.128628,x0161
c1cc(sc1)S(=O)(=O)N2CCN(CC2)C(=O)CCl,LON-WEI-8f408cad-3,-8.104933,x0749
c1cc(sc1)S(=O)(=O)N2CCN(CC2)C(=O)CCl,AAR-POS-d2a4d1df-22,-8.104933,x0749
COc1cccc(c1)NC(=O)Nc2cccc(c2)C#N,ANN-UNI-26382800-6,-8.098941,x0749
c1cc(ccc1N2CCC(CC2)[NH+]3CCCCC3)S(=O)(=O)N,WAR-XCH-b72a1bbc-10,-8.096125,x0104
c1cc(nc(c1)OCC(F)F)NC(=O)NCc2cccnc2,BAR-COM-4e090d3a-69,-8.066553,x1093
CCc1nnnn1c2ccccc2NC(=O)C3(CC3)c4cc(cnc4)Br,BAR-COM-4e090d3a-16,-8.060421,x0830
CCc1cccc(c1NC(=O)[C@@H](c2cccnc2)N(c3cc([nH]n3)C(C)(C)C)C(=O)C=C)C,LON-WEI-b8d98729-20,-8.018552,x0831
Cc1cccc(c1)NC(=O)/C(=C(\C2CCC2)/O)/C#N,JOH-UNI-c7afdb96-7,-7.984158,x0831
c1cc(cc(c1)NC(=O)Nc2cccnc2)C#N,ANN-UNI-26382800-4,-7.983136,x0749
c1cc(cc(c1)NC(=O)Nc2cccnc2)C#N,JOR-UNI-61e7b1d5-2,-7.983136,x0749
c1cc(cc(c1)NC(=O)Nc2cccnc2)C#N,WAR-XCH-eb7b662f-1,-7.983136,x0749
c1cc(cc(c1)NC(=O)Nc2cccnc2)C#N,DAR-DIA-23aa0b97-5,-7.983136,x0749
c1ccc(cc1)C[C@H](C(=O)NCc2ccno2)NC(=O)OCc3ccccc3,BAR-COM-4e090d3a-19,-7.968852,x0678
CC(=O)N1CC[NH+](CC1)CC(=O)Nc2cccc(c2)S(=O)(=O)N,LON-WEI-b8d98729-4,-7.938325,x0104
CC(=O)N1CC[NH+](CC1)CC(=O)Nc2cccc(c2)S(=O)(=O)N,JAN-GHE-1d98ec1c-7,-7.938325,x0104
CCn1c2ccccc2n(c1=O)CC(=O)NCc3cnccn3,BAR-COM-4e090d3a-51,-7.938208,x0678
Cc1cccc(c1)NC(=O)/C(=C(\C2CCCC2)/O)/C#N,JOH-UNI-c7afdb96-6,-7.910522,x0831
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cn3)C#N,TRY-UNI-1fd04853-12,-7.890812,x0749
c1cc(cc(c1)C#N)CC(=O)Nc2cccnc2,ANN-UNI-26382800-5,-7.873439,x0749
c1cc(cc(c1)Cl)NC(=O)/C(=C(\c2cccs2)/O)/C#N,JOH-UNI-c7afdb96-5,-7.871647,x0830
CC(C)N(C)C(=O)C1CCN(CC1)C(=O)CCl,VIR-GIT-7b3d3065-3,-7.862561,x0749
CC(C)N(C)C(=O)C1CCN(CC1)C(=O)CCl,AAR-POS-0daf6b7e-19,-7.862561,x0749
c1ccc(cc1)NC(=O)CC(=O)Nc2ccncc2,GIA-UNK-3f36037a-7,-7.789352,x0107
c1ccc2c(c1)cc(cc2C[NH+]3CCN(CC3)CC#N)Cl,MAT-POS-4e253971-1,-7.785496,x0830
Cc1nc(on1)C[C@@H](c2ccccc2)NC(=O)[C@H](C)Cn3ccnc3,BAR-COM-4e090d3a-38,-7.774179,x0678
c1cc(cc(c1)OCC[NH+]2CCOCC2)NC(=O)NCc3cccnn3,BAR-COM-4e090d3a-54,-7.753376,x0678
c1ccc(cc1)S(=O)(=O)N2CCC(CC2)C(=O)N3CCOCC3,GIA-UNK-eaadd1d4-3,-7.749019,x0072
CC(C)[NH2+]C1CCN(CC1)c2ccc(cc2)S(=O)(=O)N,WAR-XCH-b6889685-23,-7.678153,x0395
CS(=O)(=O)Nc1cccc(c1)C(=O)Nc2cccc(c2)N3CCCC3=O,MAK-UNK-9159f8ed-6,-7.669181,x1077
CS(=O)(=O)Nc1cccc(c1)C(=O)Nc2cccc(c2)N3CCCC3=O,MAK-UNK-1e8f9e3c-1,-7.669181,x1077
c1cc(c(cc1N(=O)=O)Cl)NC(=O)c2cc(ccc2O)Cl,CHR-SOS-7098f804-1,-7.658549,x0678
CS(=O)(=O)NCCCN1CCCc2c1cc(cc2)S(=O)(=O)N,PET-SGC-abcbce68-1,-7.647782,x0195
COc1ccc2c(c1)c(c[nH]2)CCNS(=O)(=O)C,MAR-UNI-9ca61fdc-1,-7.645136,x0831
Cc1cccc(c1)NC(=O)/C(=C(\CC(C)C)/O)/C#N,JOH-UNI-c7afdb96-13,-7.610608,x0749
C=CC(=O)N(c1ccc2c(c1)scn2)[C@H](c3cccnc3)C(=O)Nc4ccc(cc4)Br,LON-WEI-b8d98729-9,-7.523878,x0831
CCC(CC)/C(=C(/C#N)\C(=O)Nc1ccc(cc1)F)/O,JOH-UNI-c7afdb96-14,-7.504443,x0749
CC(=O)N1CC[NH+](CC1)Cc2cn(nn2)c3cccc(c3)S(=O)(=O)N,NIM-UNI-02269248-3,-7.492530,x0104
C[C@@H]1C[C@@H](CN(C1)C(=O)c2ccccc2NC(=O)NCc3ccoc3)C,BAR-COM-4e090d3a-44,-7.434844,x0434
Cc1cccc(c1)NC(=O)/C(=C(\C2CC2)/O)/C#N,JOH-UNI-c7afdb96-8,-7.429615,x0749
CC1(CC1)c2ccc(cc2)N([C@H](c3cccnc3)C(=O)NC(C)(C)C)C(=O)C=C,LON-WEI-d1c9908a-1,-7.423429,x0749
CS(=O)(=O)NCCc1cccc(c1)O,ANT-DIA-b7f58f21-2,-7.416083,x0749
CC(C)(C)C/C(=C(/C#N)\C(=O)Nc1ccccc1)/O,JOH-UNI-c7afdb96-12,-7.342156,x0831
Cc1ccc(cc1)NC(=O)/C(=C(\CC(C)C)/O)/C#N,JOH-UNI-c7afdb96-11,-7.296918,x0749
